,id,file,year,newspaper,city,TAG,text
3664,50849,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_355__page_6.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"uno literario y otro de grabado para concurrir con ellos a la celebracion del centenario del libertador.  como anteriormente lo anunciamos, para obtar a los premios del primero, debian cantarse 6 estudiarse las glorias de bolivar en tres de sus grandes manifestaciones  boyaca, carabobo 6 junin, y los premios consistian  el primero en un retrato al oleo, reproduccion del que el gobierno ha enviado a europa para servir de modelo a la estatua que adornara el parque del centenario el segundo en una medalla de oro alusiva al libertador y al concurso y el tercero en una pluma de plata.  cerrado el dia 20 de junio, las composiciones recibidas hasta aquella fecha, fueron escrupulosamente examinadas por el jurado compuesto de los senores jose a.  soffia, jose manuel marroquin, ricardo silva, ricardo carrasquilla y henrique alvarez, quienes, como lo manifiestan en el informe que a continuacion se inserta, no han juzgado que haya lugar a concederse primer premio, asignando el segundo al senor manuel briceno por su trabajo en prosa intitulado  la campana de boyaca, el tercero al senor d."
3666,57653,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_397__page_13.json,1881,Papel Periodico ilustrado,Cali,POSITIVO," tostada por el sol tropical, su cabeza se reclina en el regazo del norte sus pies reposan sobre la union de dos continentes, y su nevado pecho, levantandose hasta las nubes, permancce siempre sereno en la majestad de su grandeza.  en su seno guarda vastos tesoros de oro y plata y opalos y esmeraldas adornan su frente mientras que el borde de su manto real, que banan los mares de dos hemisferios, esta bordado de perlas y de todas las riquezas del oceano.  y por hoy basta y sobra de charla, que ya aburrido estaras de tanta cosa vieja que repito, como generalmente lo hacen los que se ponen en la simpleza de hacer descripciones de viajes.  soy tu amigo.  las cronicas de mi hogar 6 apuntes para la historia de santafe de bogota continua de la pag.  327.  ano iil capitulo xxvi.  la ofrenda para la reconstruccion del templo de santo domingo .  leyenda de un pobre y un cristiano .  el santafereno a fines del siglo pasado .  costumbres de santafe.  a casa de d.  francisco a.  gutierrez, a quien encontramos por primera vez en casa del fiscal moreno, se hallaba situada enfrente y a pocos pasos de la del marques de san jorge, en donde se dio el baile descrito en el capitulo anterior."
3667,89940,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1893__page_2.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"a la izquierdagrilo el nino, dirigiendo operpo hacia aquella partedonde lisy una digo otra vez, lo afirmo pero no aufrire que capilla, me parece vor .  un tercer silbido paso por lo alto, y en ab me callo no tengo prueba alguna que dar grito el oficial acndiendo.  grito el osois !! b.  pobre nito, valiente minelachol ulamed  los testigos, dijo uns voz breve, ¡animo, animo! pero mien bre la berids, el muchacho movis los ojos a  arreglo la cabeza sobrola lilerba, ve lavanta y po respira preoiann miga.  pobro muchacho ! repitio tristemente ol lojario de ella.  repitio su declaracion que me oficial ¡ pobro y valieutd niniof luego so soerco  in casa, quito de la von law doce me vid salir envuelto en una gran.  permanecieron suo un rato silenciosos do convencido de que yo soy el que hasviato muerto un beso en la frente y grito ¡ a oa dorada, luego no ha sido  mi quien hab hallo ! todos so qseguracon en las sillas, visto salir, inarchia.  pocas horas deephus, ol pobro muerto tuvo pereones que le ."
3668,16479,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF730_Mefistofeles_results/PF730_Mefistofeles__20230916_183645__page_0.json,1897,PF730_Mefistofeles,Bogotá,NEGATIVO,"una orden, y le dijeron que habia salido a llevar al correo una carta de la senora, la cual habia marchado inmediatamente si no viera, como veo, on tus infanda con una 4 en el c despues.  estas noticias produjeronle muy dadas sospechas, la prueba mas grande  cria de la esperanza, y pertens de tu amor, no to perdonarfa la a el cachete is desagradable impresion.  ¿ de quien era ofensa que me haces al suponer lo que no la grave  senor joaquin montejo, hijo.  la carta en cuyos fragmentos no pudo puede existir nunen .  desecha esos dirigirse  la redaccion de este tes leer una palabra entera ? ¿ a quien escriviles pensamientos que te onloquecen.  bia isabel ? no 1 o perdamos el tiempo, isabel.  la duda, una duda horrible, invadio dame la carta.  gran sastreria el espiritu del baron y le sugirio la idea ¿ y ai no quiero ? dijo ella, irguionde interrogar a la doncella de su esposa.  dose y dando a eu atrevida pregunta asde francisco luna por la tarde, al entrar en el hotel, vio pera entonacion.  situada en la calle del templo al portero con una carta en la mano."
3669,34402,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF674_El amolador_results/PF674_El amolador__Image0069__page_0.json,1878,El amolador,Bogotá,POSITIVO,"virjen santa ! ¡ va a volverse loca de ale  mejillas se cubrieron de un vigoroso rubor  gria ! pro el sudor ha empezado ____ i el letargo se disipa por instantes, observo el otro medico acercandose al jeneroso operador  ya ha conocido a esther.  gracias a dios ! exclamo el anciano alzando al cielo una mirada de gratitud ardiente, i en tanto que acababa de colocar los vendajes ante los debiles ojos de guillermo hijo mio, dijo el doctor  hasta dentro de cuarenta dias no puede usted tener el consuelo de ver a su madre  pero sufra usted, por dios, esa mortificacion  feliz yo  solemne, ¿ quieres por esposa a mi hija si el dia en que despoje a usted de esos vendajes, puede presenciarlo mi esposa, libre de la terrible enfermedad que la ha tenido al borde del sepulcro ! ¡ oh, bienhechor mio ! exclamo el joven besando con trasporte las manos del medico  ¡ que hare yo para pagarle su caridad ! si acaso esta usted obligado a alguno, es a mi hija, repuso el doctor  si ella no hubiera querido subir a pintar sus violetas, no hubiera conocido a mercedes, i yo no hubiera conocido a usted ____ pero silencio, anadio el senor valladares  mi mujer empieza a dormir, i es preciso guardar ese sueno, terminacion feliz de su terrible crisis xi pasemos dos anos, queridos lectores, i os hallareis en una linda i comoda habitacion de la misma casa en que tan pobres conocimos a dona clara i a sus hijos."
3670,50387,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_364__page_9.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"primera exposicion anual de la escuela de bellas artes.   se continua del numero 88, pag.  210.  lamaban la atencion, entre los nombres de artistas muertos, el del inmortal gregorio vasquez arce y ceballos, principe del arte en nuestro pais  y formando su gloriosa corte los pintores, musicos, arquitectos, escultores y ornamentadores siguientes  antonio acero de la cruz, pedro almansa, antonio barrionuevo, banderas, camargo, pablo caballero, antonio cortes, nicolas cortes, francisco javier cortes, juan de cabrera, pedro caballero, juan bautista coluchini, manuel d.  carvajal, los dos cancino, francisco davila, josias y pio dominguez, jose maria espinosa, domingo esquiaqui, gaspar de figueroa, baltasar de figueroa, pedro figueroa, celestino figueroa, miguel figueroa, carmelo fernandez, santos figueroa, valentin franco, pablo antonio garcia, joaquin gutierrez, jose manuel groot, victorino garcia, narciso garay, joaquin guarin, ulpiano gonzalez, baron gross, mariano hinojosa, hagen, mariano de la hortua, manuel jose jironza, pastor losada, el maestro leon, pedro laboria, lugo, francisco londono, angelino medoro, francisco javier matiz, manuel martinez, meuche, mancera, celestino martinez, marck, ochoa, jose joaquin perez, posadas, enrique price, fray domingo de petrez, francisco paramo, jose m."
3671,51824,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_358__page_5.json,1881,Papel Periodico ilustrado,Cali,NEGATIVO,"dad natal que le buscase una mujer de ciertas condiciones.  tal fue el modo como se verifico su matrimonio fue padre, gozo inefable para su alma afectuosa y ardiente pero desgraciadamente no tuvo sino un hijo varon, que murio en la infancia por su precoz desarrollo intelectual tuvo ademas tres hijas, carlota, ana maria y juliana que viven aun.  no tuvo un hombre a quien trasmitir el uso de sus instrumentos cientificos para que subiese con el la falda de los andes o la escalera del observatorio.  por este tiempo acababan de ocupar las armas espanolas, victoriosas ya en todo el territorio, la capital del reino las fuerzas republicanas se dividieron a buscar fortuna las unas al mando del presidente madrid, siguieron para el sur, y las otras con serviez a casanare.  supo caldas todo esto, y emigro buscando una salida por la buenaventura.  no pudo embarcarse, regreso y fue aprehendido con su amigo ulloa en la hacienda de paispamba.  el jefe aprehensor simon munoz le propuso en el camino que se fuera a quito, donde dominaba d."
3672,93901,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1893__page_27.json,1869,El diario de Cundinamarca,Bogotá,NEUTRO,"de morir la llevaron  la carvel entra uns marques, inn impropis, de un.  amo de cana ademas, un variado zurtido de obras cienno geo olar in conducta de can mujer, figuritas de reyes y cetrellis de talon? con du san francisco antigno almacen, de pey ustedpregunto dl marques sonriendo, por los paladares de buen gusto on que remedio ! explomo el interrogado, emilia pardo bazan anuncios, c igarrillos de la gran pablica de partagas  c.  linited, de la dubafalsificaciones.  g.  calle florian, num.  948, almacen braulio rodrignez  0.  pompilio beltran, ingeniero civil y mecanico, con diploma de la universidad nacional, de colombia.  estudio e instalacion de maquinae, .  desarmorfa, fondicion y maquinaria.  ,.  mariano manrique b.  abogado y agente .  bogota no cobrara honorarios sino en caso de eeffor dr.  francisco de p.  borda, y editadaanticipa fondos por cuenta de los ne razon de  030 treinla centavos ol ejedigooios que se le couffen,  s parque de saplander, numero 19.  15 ras  o.  parque de santander, acera sur, pedro miguel morales y compania, abogados y agentes de negocios ."
3673,97975,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Junio 1891__page_7.json,1869,El diario de Cundinamarca,Bogotá,NEUTRO,"us correrd, la multa, al periodista, desde, el dia en odoriafera en ello, el peridilera que de ello at6 art.  10.  la persona ofendida que dago, upo despacho de la impredia de lleras y c . , a ifde los impresores.  ars.  20.  son impresores el propietario y ei j reforman, esta de venta en in oficina de art.  21.  es prohibido a los impfrsores  1. o fracer publicacion alguna in que no se ex coutionar la publicacion del quo heyn aldo sosla pendido por is autoridad  3. o hacer publicaciones auenunas 6 seudoni mas que do stan articulos de periodicos, min que firmado.  el mipresor lo maniendra en reserva, secreto  pero lo presentar  a la autoridad com no es adinicible pars ningun escrito la finca rustica y a doce en media pasta.  rerdadero.  4. o pub icar, sio licencia de la autoridad cole art.  22.  el impresor que infrioja cualquiera de ins precedentes disposiciones, lucpris en prachica, continde denein, el isepresor soeurrira en la pena de clat art.  24.  queda derogado el decreto ejecutidadle en bogota, a 17 de febrero de 1888 rafael nost."
3674,79967,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_343__page_4.json,1881,Papel Periodico ilustrado,Cali,NEGATIVO,"causa de los patriotas, otras en los quehaceres del dia, iban y venian, entraban y salian de las tiendas de comercio, cuando a eso de las doce, una disputa de poco momento entre un espanol y un americano, fijo la atencion de los transeuntes en la primera calle real.  los comerciantes cierran sus tiendas y el pueblo corre al lugar del suceso.  a vuelta de pocos instantes inmensa gente rodea a los contendientes, y como se levantan rojas, devoradoras las llamas de un incendio, voces de mueran los chapetones ! salen de aquella multitud anunciando los postreros momentos de la dominacion colonial.  como el ultimo dia de los tarquinos en roma, el ultimo dia de la colonia habia llegado por un imprevisto acontecimiento.  no otro ha sido a menudo en la historia del mundo, el origen de esos  relampagos de indignacion publica que se llaman revoluciones.  a la hora de las seis de la tarde, ese mismo pueblo que ricaurte, entre otros, animaba con la energia de sus palabras, se llamo a cabildo abierto, y en el curso de la nochenoche de tantas virtudes y de tanta grandeza de animocompleto la obra del dia, depositando en una junta de patriotas el supremo gobierno del reino."
3675,105477,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__6__page_8.json,1889,Colombia ilustrada,Bogotá,NEGATIVO,"zozobra eterna de la especie humana, dado falaz que con pavor se nombra, sea palabra vana ! manana .  despertar a la fatiga el cuerpo, el alma al padecer secreto, y las ciudades, como mar inquieto, al ruido sordo, a la ambiciosa intriga que insaciable persigue indigno objeto! manana .  revivir los corazones al pesar, al dolor, al desaliento ! manana .  renovar el pensamiento inasibles quimeras, ilusiones, castillos en el viento ! volver, a la lisonja o los agravios la lengua, el brazo a belicos arrojos o a la dura rutina, a los abrojos el pie vagante, y a la sed los labios, y a las amargas lagrimas los ojos ! hora todo esta en calma  la rugosa montana inmovil, el florido prado do el viento se adormece, y el poblado que en la callada soledad reposa cual dragon enroscado.  inclinan sus cabezas descollantes que agobio, no agito, la blanda brisa, los enlutados alamos, y a guisa de fantasmas o funebres gigantes, en voz parecen conversar sumisa.  entre la yerba oscura blancos miro marmoles destacarse funerarios  y los muertos con palidos sudarios entre cipreses ir en leve giro vagando solitarios."
3677,5099,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__9__page_14.json,1890,El zancudo,Santafé de Bogotá,POSITIVO,"el suero, parodia .  un ingles dijo admirado cuando oyo del suero el cuento, se conoce que en mi tierra todo el mundo es un jumento cuando convierten en vidrio este importante alimento.  r.  wagner.  obtuvo un alto empleo cierto audas regenerador, y a los que le daban la enhorabuena respondia  creeran ustedes que para alcanzar mi nombra.  miento no he dado ni un paso, apesar de haber tanta intriga para conseguir el mas raquitico de los destinos?  ya lo creo, le respondio un hombre honrado  el que se arrastra no da pasos.  saliendo de una tertulia varios pepitos, exclamo uno de ellos  ¡ que ojos los de laura! me han incendiado el alma pues f mi, agrego otro, lo que me iba incendiando fue la levita, con su cigarrillo.  cambio de papeles.  ha estallado en inglaterra una revolucion, a laque por cierto no se da toda la importancia que le corresponde.  se trata de la rebelion de las mujeres inglesas contra la estrategia tradicional del amor, habiendo resuelto hacer por si mismas la eleccion de esposo."
3678,11281,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF393_El ciriri_results/PF393_El ciriri__20230924_121856__page_0.json,1897,El ciriri,Medellín,NEGATIVO,"para voltearse a carista, sin que la gente lo entendia, llego a su pueblo en vacaciones, dualismo pernicioso.  rada en preciosa note.  algunos se la pasan inventando invenun estudiante, furioso partidario de aquel d.  marco fidel suarez  mark the rippt tos para sacar muelas sin dolor pero resulta estilo.  es periodista y consejero de estado.  como la golondrina c que el sin dolor corre por cuenta del dentis fueron a visitarle el cura y el medico, entra por las oji ta .  6 del gatillo.  y creyendo el estudiante que era la ocaprimero, rompe lanzas con los grandes y es la inocencia dia llegara en que se invente una maquision de lucirse, llamo a la criada, y para chicos de la prensa, y como lo segundo, fal x busca el bien na para leer el manifiesto de d.  miguel, de en ultima instancia en los asuntos periodie mandarla que acercase lena, porque tenia luces, ornando una sola sentada.  cos, como acaba de suceder en el caso del segun la edad o una maquina para no leerlo.  los pies helados, dijo en culto  fior perez v soto."
3679,5991,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__12__page_16.json,1890,El zancudo,Santafé de Bogotá,IRONÍA,"dia 20 .  canoneo al amanecer, para que sepan hasta los sordos mas rematados, que si a la regeneracion le falta brio, y un poco basle han de sobrar hasta para su entierro, al cual nos damos desde ahora por convidados, sin riesgo de que le hagamos el desaire de no con el canoneo la musica de las bandas  ¡ como eso no cuesta nada ! ya se ve que no se debe escasear  es la panacea para todas las dolencias y sustos de sus senorias, a las cuales sin tal estruendo se les atascarian las mejores mascadas en el paladar, lo que tendria sus inconvenientes  a las doce aparecio la estatua del libertador casi adornada con su media docena de banderitas, quiza las mismas del centenario para mayor gracejo y economia  algunos rosquetes de musgo a guisa de coronas  la de oro.  esa si no parecio, acaso se juzgaria peligroso sacarla a luz, 6 se habra oxidado en su escondite .  en fin, no parecio, ni falta le hizo a la estatua, pues le amarraron un moquero en la cabeza, como si fuese a dar de chuzazos a los novillos en el  circo neromiano   otro poco de canoneo alternado con la consabida musica  cosas con las cuales estamos como unos infelices frailes, que se quejaron al superior de su convento de como no los alimentahan sino con rabanos y queso ¿habra picardia igual ? dijo el superior escandalizado  y dio orden para que en adelante se diese a la comunidad un dia rabanos y otro dia queso  y cristo con todos."
3680,23921,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_may_1889__page_6.json,1888,El taller,Bogotá,POSITIVO,"extensas relaciones fueron inutilmente encon muy liberales autorizaciones para contratarlos  pagabase entonces con puntuali dad rigurosa la fuerte suma que representaban los intereses y amortizacion gradual de la deuda exterior  sin embargo, nada so consiguio, porque las instituciones no aseguraban el orden publico y las frecuentes la urgencia de no quedar bajo cero en termometro del progreso de las naciones, indujo a celebrar contratos que sirvieron para dar a conocer a los pueblos algunas muestras de ferrocarril  y la constancia con que se ha trabajado en los ultimos anos al guiente de la riqueza nacional, esta permide vias ferreas en los puntos de mayor tra.  tiendo la terminacion de pequenas secciones fico y de menores dificultades tecnicas.  aho.  ra cuando empresarios y capitalistas extranjeros, atraidos por la seriedad de nuestro la situacion topografien de colombia, espon.  taneamente exploran el territorio nacional y formulan bases de contratos, es muy posible que se tomen todas las precauciones condu centes a asegurar las mejores ventajas solido progreso  pero no debemos ofuscar nos."
3681,18902,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF730_Mefistofeles_results/PF730_Mefistofeles__20230917_101309__page_0.json,1897,PF730_Mefistofeles,Bogotá,NEGATIVO,"o, en la cual se 0, 1 .  bi boses de algun cuitado 1 ogp, amante 6 desesperado, asambleas la protesta contra un edo del diestro quiem hevarla al altar.  ciudadano que habla con verdad y pues vaya una cosa.  ¿ el tamano ? gelito y el senor justicia, y en esto harian muy bien es igual que los buenos.  d.  felipe, quiea 85o una vez, ruboross, dichos empleados, pues no es coen que tiene dos pelos de menos los mejores are leyo uns carte amoross, rriente que se permita semejante en los falsos, e ibusto del rey nta hoy la com.  que sbutaba cuatro tomos, borita en papel con cromos disparate a los cuerpos colegiados, senora aguias sobre fondo blanco y ross.  que se dejan arrastrar, si no lo esa un devoto le dieron un palo tan ya, a impulsos de la ira de la en la pierna derecha, tan fuer , ue todo elogio es familia.  que por poco si causa su mue e z que nuestro pa euro  la respuesta fiera y que el hueso del golpe cort como gran can ve  hable usted con mis papas, al senor caro le parecen pocas puch, a pesar de, que estaba en la otra acera, las facultades extraordinarias para nadie pudo aquel hueso a eglazle, y con un sufrimiento infinito, su papel de fit tjabur!  la porters reprimir la prensa, y en consecuenya no le han visto mas."
3682,62589,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_409__page_10.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"esto pasaba a fines del ano de 1632, y las molestias y disturbios no cesaron sino con la muerte del arzobispo en el entrante ano y con la residencia del presidente  pero la obra se hizo.  asi permanecio, con pequenas variaciones, hasta 1842, en que el gobierno de la provincia le mejoro y amplio, pues no comprendia sino desde la esquina de la catedral hasta la puerta de la capilla del sagrario, e hizo esculpir en una losa, que todavia puede verse en las gradas del lado sur, una inscripcion conmemorativa.  posteriormente, en la administracion otalora, se mando hacer de nuevo, y se fijaron en lapidas de marmol, en los dos costados de la puerta de la capilla, estas inscripciones  en el derecho, en 1842 de orden del gobernador alfonso acevedo tejada.  y del lado izquierdo esta  este atrio fue enlosado de nuevo bajo la administracion del senor doctor jose e.  otalora siendo secretario de fomento el doctor manuel laza grau.  1883.  iv conociendo el senor acevedo la necesidad que habia de paseos publicos propios para la poblacion de una capital, se esforzo en mejorar el conocido con el nombre de  laalameda."
3683,27783,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_jul_1889__page_7.json,1888,El taller,Bogotá,POSITIVO," a esta noticia un solo grito de estupor, momentaneamente seguido de este otro   adoptemoslo, en que juntos prorrumpieron.   la criatura resulto ser una nina.  de comun acuerdo decidieron llamarle milatriz popular de la zarzuela, fue escogida para madrina y le dio su apellido, y el di rector del teatro, su padrino, le anadio el de  zarzuela, como nombre del teatro en que fue encontrada.  bajo estas condiquia para su bautizo.  la esquela de invicacion era tambien curiosa, y estaba redac tada asi  bautismo en la parroquia de san sebastian.   maria del milagro, lucia, pilar saenz zarzuela.   nacida en la zarzuela.  padrinos dona lucia pastor y don nicolas noriega.   protectores los artistas de compania en it temporada de 188889.  a las cinco el cortejo salio del teatro encajes en un segundo coche lucia pastor con un atavio de los mas elegantes, acompanada de su hermana maria en otro el director de la compania, uno de nnes tros companeros de el imparcial y al propietario del teatro de la zarzuela  en fin, a pie iban los actores, actrices, coristus, figurantes de ambos sexos, los musicos de la orquesta, periodistas, autores dramaticos y una multitud de curiosos."
3685,42854,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_329__page_6.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"el de todos los publicos de la ciudad, es esmerado.  como adorno principal, y perfectamente formado con hojas de diferentes colores y matices adornan las dos eras centrales, la una las armas de venezuela con todos sus pormenores cuidadosamente conservados, y la otra un gran monograma con las letras g.  b.  guzman blanco podran tener estas eras de 4 a 5 metros de diametro.  el plano inclinado de norte a sur sobre que esta el edificio permitio construir una elegante escalinata que da del interior del patio al salon llamado de  recepciones, que ocupa el ala norte tendra unos veinte escalones y llena todo el ancho del edificio en aquella parte.  el ala sur, 6 sea el lado que da sobre la plaza guzman blanco, frente a la universidad, la ocupan las dos camaras del senado y de representantes.  tampoco es satisfactoria la acustica de estos dos salones, y digo tampoco en recuerdo de la de los respectivos salones de nuestro capitolio.  alli las voces se confunden y las mas no se oyen, a dios gracias."
3686,108306,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__13__page_17.json,1889,Colombia ilustrada,Bogotá,POSITIVO,"escuela de medicina de la universidad nacional varias asignaturas, sirvio las clinicas del hospital de san juan de dios, se recibio de miembro de numero de la sociedad de medicina y ciencias naturales, cuyos trabajos presidio, y atendio a la numerosa clientela que solicitaba sus servicios profesionales.  volvio otra vez a europa, y de regreso continuo en bogota consagrado al ejercicio de la medicina y de la ensenanza.  el poco tiempo que le dejaban libre las atenciones que le exigia su profesion, lo destino en antioquia a empresas agricolas y mineras, con las que fomento la industria y contribuyo al progreso del pais.  notable desinteres y patriotismo mostro en todos sus actos, ora estimulando con su ejemplo las empresas mas atrevidas, ora haciendo oportunas indicaciones y facilitando los medios de llevarlas a cabo, aun a costa de sus propios recursos y exponiendo su misma vida.  en el cultivo de las letras y de las ciencias hallo el medio de ocupar sus ocios, de dar pabulo a su ardiente imaginacion y descanso a las penosas tareas de medico."
3688,88143,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1891__page_30.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"occorario alisellar a los pueblos los inanejos varlos individuos elevaron und solicitud  prinemente lae layes hibrales de la politica siguiente de los gobernantes y mostrarien sus abusos, al sonor ministro de justicia pare que eso el itoperio alemun ha tonido que buscar elr cuando el rey juan 6. o vino de portogal  dosiumbrados como se hallan por sus pompo magistrado quedase en tundama i donila altaurne forzadas el respaldo qno la polinon visitar au colonia del brasil los broeileros sas ofertas do orden, moralidad y justicia habia sido trasladado, poro su solicitud fue bismargninn no ora suficienten ofrecerlo ye que su jes lincen diariamente .  eats regionun tenido siempre la desgracia nizones que alegaban y do que gan, mismalde e binete 6 do tuinbo de otros gobiernoa.  resto oit piedras preciosne, que ofrecieron, el de ser in mas infortunado do la tierra co plaza la desempefiaba en di tribupul do colombia ad engano tambien, 6 mejor rey como tributo de su agradecimiento.  loinbic na ogul se pagan jogentos contribu."
3689,66753,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_307__page_9.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"ven los que hayan nacido en aquellas tierras, o los que habiendo nacido en esta tienen suficientes recursos para trasladarse a aquellos grandes centros.  ¡ cuan esplendida y util es la obra de vasquez! ¿ que harian sin sus cuadros nuestros artistas, que modelos tendrian, obligados por la necesidad a permanecer en esta atmosfera de suyo poco propicia para el arte ? a vasquez debemos el que se tenga noticia de lo que es pintura, de lo que son los cuadros de los grandes maestros su nombre solo debe infundir aliento y valentia en el corazon de nuestros aficionados.  veamos, pues, sus principales cualidades como simple ejecutante y como pensador.  ante todo campean en vasquez una incomparable nitidez en las tintas, y una maestria en la composicion verdaderamente rafaelesca  sus carnes son frescas y trasparentes sus rostros de virgenes suaves y blandos como la seda  sus coros de angeles dibujados y entonados con exquisito gusto y tratados con un amor y una pureza no superadas hasta ahora, y en sus mujeres resalta la morbidez y soltura del contorno y el castisimo tinte de la entonacion."
3690,88467,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1891__page_8.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"directores y redactores liborio d.  cantillo enrique lleras.  antonio sio navar.  que su vida de omnipotente depondo penran al senor general velez, han de ser no haremos secriminacion alguno a los que de la division ontre los conservado resultado de non maquiavelico combnkiciou 1 lo proscribieron sin necesidad diremos  la res ? la paz dice que el es el respon ¿ por que les hemos de negar el derecho do juventud que se levanta  sable de lo que esta pasando, y esa es yon gran masa de bombres honrados, do res ba cofdo un atleta  adelante ! felices los que la verdad.  para conservarso el doctor potables padres de familia, propietarios, in en cumplimiento del deher puedan encontrar nunez en el poder, necesitaba de una teresados en la paz y on el progreso de laluna muerte hourosu ! apoyo de unos y otros  esto le hacia querer, olridendoso por uc momento del ca.  conoce lu calidad de sus tenientes .  a porotros los conservadores, el privilegio del colocado el doctor nunez en la patriotismo y de la buctsfel posicion de omnipotente, por el apoyosinceramente creemos que nuestros prinlalguna, mientras, por el trascurso del dlabrer la felicidad de la patria pero deducir guatemala hace cuatro ding."
3691,61465,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_402__page_9.json,1881,Papel Periodico ilustrado,Cali,NEGATIVO,"sogamoso, en donde los conquistadores creyeron encontrar el dorado, y de donde sugamuxi era cacique y pontifice supremo y los templos de bacata y chia, cerca de los cuales vivian los jeques o sacerdotes encargados de su custodia y ceremonias religiosas.  eran suntuosos por sus ricos adornos de oro y por las ofrendas que hacian a sus dioses de tejuelos de oro y figuritas del mismo metal, que representaban hombres, mujeres y animales, y aun partes interesantes de sus mitos, de sus costumbres, de su industria y de sus escasas presunciones metereologicas, y que depositaban en vasos de tierra cocida de diferentos formas.  en la puerta del templo de iraca en sogamoso, segun piedrahita, estaba la que representa la figura 1, que era de oro y servia para colectar las ofrendas  en antioquia se ha encontrado la misma de tierra cocida.  la magnificencia y riqueza de los adornos del templo de iraca, excito la codicia de los conquistadores y fue destruido por las llamas del incendio causado por los soldados que entraron en el."
